Localidad,Este [m],Norte [m],Cota [m],Precipitación
SAN_JOSE,3645.345,7480.219,671,64.3
IRUYA,3615.086,7511.452,2748,32.3
LAS_HIGUERAS,3592.302,7485.035,2197,24
SAN_ANTONIO,3609.5,7475.753,1400,16.7
SAN_ISIDRO,3578.004,7484.315,3004,28
NAZARENO,3612.464,7521.738,3305,15.6
EL_PALTORCO,3594.395,7523.848,3917,17.4
TUC_TUCA,3576.451,7540.224,3922,0
EL_MOLINO,3587.376,7501.739,2668,3
PABELLON,3560.72,7510.348,3851,0
SAN_LORENZO,3560.56,7442.44,2437,20
EL_DURAZNO,3615.63,7443.12,1369,62
CALDERILLA,3665.98,7450.33,974,3
